run_order,timestamp,level,algorithm,heuristic,repetition,status,cutoff_reason,solution_cost,solution_moves,solution_pushes,expanded_nodes,frontier_size_at_end,max_frontier_size,elapsed_seconds,solution,max_expanded_nodes,timeout_seconds,seed
50,2026-08-23T15:30:10-03:00,levels/experiments/level_03.txt,greedy,shortest_push_access,7,success,,83,83,22,34565,5793,9151,0.878902459,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT LEFT DOWN LEFT LEFT DOWN RIGHT RIGHT RIGHT LEFT UP UP UP LEFT DOWN RIGHT RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT DOWN RIGHT LEFT DOWN LEFT LEFT UP RIGHT DOWN RIGHT RIGHT UP UP LEFT UP LEFT DOWN RIGHT RIGHT DOWN DOWN LEFT UP DOWN LEFT LEFT UP RIGHT DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN DOWN LEFT RIGHT UP LEFT UP LEFT LEFT UP LEFT DOWN,1000000,25.0,0
51,2026-08-23T15:30:10-03:00,levels/experiments/level_02.txt,greedy,minimum_matching_manhattan,2,success,,96,96,19,756,76,77,0.005768167,LEFT RIGHT UP UP RIGHT RIGHT DOWN DOWN LEFT RIGHT UP UP LEFT LEFT LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT LEFT UP UP RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
52,2026-08-23T15:30:11-03:00,levels/experiments/level_03.txt,astar,minimum_matching_manhattan,6,success,,43,43,10,43039,210,3515,1.015980167,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
53,2026-08-23T15:30:11-03:00,levels/experiments/level_03.txt,greedy,minimum_matching_manhattan,10,success,,47,47,10,4344,1285,1291,0.119295084,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN LEFT DOWN LEFT DOWN RIGHT RIGHT LEFT UP UP RIGHT RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
54,2026-08-23T15:30:13-03:00,levels/experiments/level_04.txt,astar,shortest_push_access,1,success,,54,54,20,50582,3791,4581,1.944615708,UP UP UP UP DOWN RIGHT RIGHT UP UP UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN RIGHT RIGHT RIGHT RIGHT RIGHT DOWN RIGHT UP RIGHT UP LEFT,1000000,25.0,0
55,2026-08-23T15:30:14-03:00,levels/experiments/level_03.txt,astar,shortest_push_access,10,success,,43,43,10,41018,844,4055,0.995059708,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
56,2026-08-23T15:30:15-03:00,levels/experiments/level_03.txt,bfs,null,9,success,,43,43,10,43709,71,2898,0.293708875,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
57,2026-08-23T15:30:15-03:00,levels/experiments/level_02.txt,bfs,null,8,success,,78,78,17,30375,19,866,0.180440708,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
58,2026-08-23T15:30:15-03:00,levels/experiments/level_02.txt,dfs,null,8,success,,174,174,27,2101,94,95,0.013574167,LEFT LEFT UP UP UP UP LEFT LEFT DOWN LEFT DOWN LEFT DOWN DOWN RIGHT RIGHT RIGHT UP RIGHT UP UP UP RIGHT RIGHT DOWN DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN RIGHT DOWN RIGHT DOWN DOWN LEFT LEFT LEFT LEFT LEFT LEFT UP UP UP UP LEFT LEFT DOWN DOWN DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP UP DOWN DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT LEFT DOWN DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP,1000000,25.0,0
59,2026-08-23T15:30:15-03:00,levels/experiments/level_02.txt,astar,minimum_matching_manhattan,7,success,,78,78,17,30315,37,1015,0.246699416,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
60,2026-08-23T15:30:16-03:00,levels/experiments/level_02.txt,bfs,null,2,success,,78,78,17,30375,19,866,0.180317875,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
61,2026-08-23T15:30:16-03:00,levels/experiments/level_04.txt,greedy,shortest_push_access,4,success,,96,96,40,5744,3064,3065,0.172659375,UP UP UP RIGHT RIGHT UP UP UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN LEFT LEFT DOWN DOWN RIGHT RIGHT UP DOWN LEFT LEFT UP UP RIGHT RIGHT RIGHT RIGHT RIGHT DOWN RIGHT RIGHT UP LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN DOWN DOWN LEFT DOWN DOWN RIGHT UP UP UP UP LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN UP LEFT LEFT LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT DOWN RIGHT UP RIGHT UP LEFT,1000000,25.0,0
62,2026-08-23T15:30:16-03:00,levels/experiments/level_02.txt,dfs,null,3,success,,174,174,27,2101,94,95,0.01239375,LEFT LEFT UP UP UP UP LEFT LEFT DOWN LEFT DOWN LEFT DOWN DOWN RIGHT RIGHT RIGHT UP RIGHT UP UP UP RIGHT RIGHT DOWN DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN RIGHT DOWN RIGHT DOWN DOWN LEFT LEFT LEFT LEFT LEFT LEFT UP UP UP UP LEFT LEFT DOWN DOWN DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP UP DOWN DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT LEFT DOWN DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP,1000000,25.0,0
63,2026-08-23T15:30:17-03:00,levels/experiments/level_02.txt,astar,shortest_push_access,5,success,,78,78,17,26823,190,1199,1.006994667,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
64,2026-08-23T15:30:18-03:00,levels/experiments/level_03.txt,astar,shortest_push_access,1,success,,43,43,10,41018,844,4055,0.995564542,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
65,2026-08-23T15:30:19-03:00,levels/experiments/level_03.txt,astar,shortest_push_access,9,success,,43,43,10,41018,844,4055,1.009119584,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
66,2026-08-23T15:30:19-03:00,levels/experiments/level_02.txt,dfs,null,5,success,,174,174,27,2101,94,95,0.012300458,LEFT LEFT UP UP UP UP LEFT LEFT DOWN LEFT DOWN LEFT DOWN DOWN RIGHT RIGHT RIGHT UP RIGHT UP UP UP RIGHT RIGHT DOWN DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN RIGHT DOWN RIGHT DOWN DOWN LEFT LEFT LEFT LEFT LEFT LEFT UP UP UP UP LEFT LEFT DOWN DOWN DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP UP DOWN DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT LEFT DOWN DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP,1000000,25.0,0
67,2026-08-23T15:30:19-03:00,levels/experiments/level_02.txt,astar,minimum_matching_manhattan,2,success,,78,78,17,30315,37,1015,0.247698541,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
68,2026-08-23T15:30:19-03:00,levels/experiments/level_04.txt,greedy,minimum_matching_manhattan,9,success,,64,64,18,867,136,144,0.007100459,UP UP UP UP DOWN RIGHT RIGHT UP UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT RIGHT LEFT LEFT UP UP RIGHT RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP,1000000,25.0,0
69,2026-08-23T15:30:20-03:00,levels/experiments/level_02.txt,astar,minimum_matching_manhattan,6,success,,78,78,17,30315,37,1015,0.248694375,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
70,2026-08-23T15:30:20-03:00,levels/experiments/level_03.txt,bfs,null,4,success,,43,43,10,43709,71,2898,0.29560775,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
71,2026-08-23T15:30:22-03:00,levels/experiments/level_04.txt,astar,shortest_push_access,5,success,,54,54,20,50582,3791,4581,1.937991083,UP UP UP UP DOWN RIGHT RIGHT UP UP UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN RIGHT RIGHT RIGHT RIGHT RIGHT DOWN RIGHT UP RIGHT UP LEFT,1000000,25.0,0
72,2026-08-23T15:30:23-03:00,levels/experiments/level_03.txt,greedy,shortest_push_access,10,success,,83,83,22,34565,5793,9151,0.895055291,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT LEFT DOWN LEFT LEFT DOWN RIGHT RIGHT RIGHT LEFT UP UP UP LEFT DOWN RIGHT RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT DOWN RIGHT LEFT DOWN LEFT LEFT UP RIGHT DOWN RIGHT RIGHT UP UP LEFT UP LEFT DOWN RIGHT RIGHT DOWN DOWN LEFT UP DOWN LEFT LEFT UP RIGHT DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN DOWN LEFT RIGHT UP LEFT UP LEFT LEFT UP LEFT DOWN,1000000,25.0,0
73,2026-08-23T15:30:24-03:00,levels/experiments/level_02.txt,astar,shortest_push_access,4,success,,78,78,17,26823,190,1199,0.998477125,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
74,2026-08-23T15:30:24-03:00,levels/experiments/level_02.txt,greedy,minimum_matching_manhattan,8,success,,96,96,19,756,76,77,0.005732667,LEFT RIGHT UP UP RIGHT RIGHT DOWN DOWN LEFT RIGHT UP UP LEFT LEFT LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT LEFT UP UP RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
75,2026-08-23T15:30:25-03:00,levels/experiments/level_03.txt,greedy,shortest_push_access,6,success,,83,83,22,34565,5793,9151,0.8842145,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT LEFT DOWN LEFT LEFT DOWN RIGHT RIGHT RIGHT LEFT UP UP UP LEFT DOWN RIGHT RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT DOWN RIGHT LEFT DOWN LEFT LEFT UP RIGHT DOWN RIGHT RIGHT UP UP LEFT UP LEFT DOWN RIGHT RIGHT DOWN DOWN LEFT UP DOWN LEFT LEFT UP RIGHT DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN DOWN LEFT RIGHT UP LEFT UP LEFT LEFT UP LEFT DOWN,1000000,25.0,0
76,2026-08-23T15:30:25-03:00,levels/experiments/level_04.txt,greedy,minimum_matching_manhattan,3,success,,64,64,18,867,136,144,0.007053292,UP UP UP UP DOWN RIGHT RIGHT UP UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT RIGHT LEFT LEFT UP UP RIGHT RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP,1000000,25.0,0
77,2026-08-23T15:30:26-03:00,levels/experiments/level_04.txt,astar,minimum_matching_manhattan,5,success,,54,54,20,45814,2599,3114,0.410220292,UP UP UP UP DOWN RIGHT RIGHT UP UP UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN RIGHT RIGHT RIGHT RIGHT RIGHT DOWN RIGHT UP RIGHT UP LEFT,1000000,25.0,0
78,2026-08-23T15:30:26-03:00,levels/experiments/level_03.txt,bfs,null,8,success,,43,43,10,43709,71,2898,0.2951925,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
79,2026-08-23T15:30:27-03:00,levels/experiments/level_02.txt,astar,shortest_push_access,1,success,,78,78,17,26823,190,1199,1.012801709,LEFT RIGHT RIGHT LEFT UP UP LEFT LEFT DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT RIGHT LEFT DOWN DOWN RIGHT RIGHT UP UP UP DOWN DOWN DOWN RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT RIGHT DOWN DOWN LEFT LEFT UP UP,1000000,25.0,0
80,2026-08-23T15:30:28-03:00,levels/experiments/level_03.txt,astar,minimum_matching_manhattan,9,success,,43,43,10,43039,210,3515,1.031773334,RIGHT DOWN RIGHT RIGHT RIGHT UP UP LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT DOWN DOWN LEFT UP RIGHT UP LEFT LEFT LEFT UP LEFT DOWN,1000000,25.0,0
81,2026-08-23T15:30:28-03:00,levels/experiments/level_04.txt,greedy,minimum_matching_manhattan,6,success,,64,64,18,867,136,144,0.007083458,UP UP UP UP DOWN RIGHT RIGHT UP UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT RIGHT LEFT LEFT UP UP RIGHT RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP,1000000,25.0,0
82,2026-08-23T15:30:28-03:00,levels/experiments/level_04.txt,greedy,minimum_matching_manhattan,5,success,,64,64,18,867,136,144,0.007162708,UP UP UP UP DOWN RIGHT RIGHT UP UP LEFT LEFT LEFT LEFT RIGHT RIGHT DOWN DOWN LEFT LEFT LEFT UP LEFT UP UP RIGHT DOWN RIGHT RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP UP RIGHT DOWN DOWN DOWN DOWN DOWN UP LEFT LEFT DOWN DOWN RIGHT RIGHT RIGHT RIGHT LEFT LEFT UP UP RIGHT RIGHT RIGHT DOWN RIGHT DOWN DOWN LEFT UP,1000000,25.0,0
83,2026-08-23T15:30:28-03:00,levels/experiments/level_02.txt,dfs,null,10,success,,174,174,27,2101,94,95,0.012600625,LEFT LEFT UP UP UP UP LEFT LEFT DOWN LEFT DOWN LEFT DOWN DOWN RIGHT RIGHT RIGHT UP RIGHT UP UP UP RIGHT RIGHT DOWN DOWN RIGHT RIGHT UP UP RIGHT RIGHT DOWN RIGHT DOWN RIGHT DOWN DOWN LEFT LEFT LEFT LEFT LEFT LEFT UP UP UP UP LEFT LEFT DOWN DOWN DOWN LEFT DOWN DOWN RIGHT UP UP UP UP DOWN DOWN DOWN LEFT LEFT LEFT LEFT UP UP RIGHT UP RIGHT UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP UP DOWN DOWN DOWN DOWN DOWN RIGHT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN RIGHT DOWN DOWN LEFT UP UP UP UP DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT RIGHT DOWN DOWN DOWN DOWN RIGHT RIGHT RIGHT RIGHT UP UP LEFT UP LEFT UP LEFT LEFT LEFT LEFT DOWN DOWN DOWN DOWN LEFT LEFT UP UP UP UP RIGHT LEFT DOWN DOWN DOWN DOWN RIGHT RIGHT UP UP UP UP,1000000,25.0,0
